timestamp,user,src_ip,domain,action,category,bytes_sent,bytes_received,status
2026-07-30T00:00:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:01:03,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:02:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:03:04,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:04:04,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:05:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:06:03,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:07:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:07:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:09:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:10:03,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:11:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:12:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:12:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:13:54,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:14:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:15:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:16:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:17:58,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:18:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:20:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:21:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:21:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:22:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:24:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:24:58,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:25:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:27:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:27:58,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:28:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:29:58,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:30:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:31:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:32:54,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:33:54,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:34:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:35:53,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:36:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:37:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:38:58,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:39:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:40:55,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:41:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:42:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:43:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:44:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:45:55,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:46:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:47:54,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:48:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:49:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:50:49,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:51:49,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:52:52,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:53:49,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:54:46,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:55:47,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:56:49,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:57:52,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:58:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T00:59:50,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:00:50,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:01:48,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:02:50,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:03:47,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:04:50,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:05:49,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:06:49,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:07:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:08:52,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:09:52,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:10:49,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:11:52,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:12:50,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:13:50,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:14:49,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:15:46,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:16:47,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:17:48,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:18:50,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:19:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:20:52,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:21:52,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:22:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:23:50,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:24:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:25:54,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:26:53,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:27:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:28:51,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:29:52,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:30:53,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:31:55,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:32:55,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:33:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:34:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:36:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:36:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:37:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:38:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:39:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:41:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:42:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:42:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:44:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:45:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:45:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:46:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:47:53,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:48:54,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:49:55,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:50:58,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:51:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:53:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:54:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:54:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:56:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:57:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:58:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T01:59:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:00:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:01:03,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:02:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:02:58,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:03:58,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:05:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:06:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:07:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:08:04,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:09:03,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:10:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:11:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:12:01,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:13:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:14:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:15:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:16:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:16:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:17:59,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:18:56,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:19:57,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:21:00,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:22:02,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:23:05,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:24:04,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:25:06,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:26:05,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:27:06,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:28:08,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:29:09,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:30:11,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:31:09,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:32:08,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:33:09,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:34:12,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:35:11,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:36:14,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:37:14,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:38:13,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:39:16,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:40:18,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:41:16,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:42:14,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:43:17,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:44:17,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:45:19,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:46:18,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:47:17,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:48:14,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:49:11,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:50:13,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:51:16,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:52:15,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:53:15,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:54:14,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:55:12,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:56:12,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:57:12,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:58:09,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T02:59:06,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:00:08,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:01:07,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:02:10,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:03:10,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:04:08,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:05:08,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:06:08,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:07:11,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:08:12,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:09:13,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:10:14,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:11:11,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:12:00,carol,10.0.1.9,xj9-relay.top,ALLOWED,uncategorized,840,12000,200
2026-07-30T03:12:12,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:13:09,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:14:12,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
2026-07-30T03:15:11,svc-backup,10.0.1.99,sync-cdn.net,ALLOWED,uncategorized,256,512,200
